Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Known_For22,Average_Rating,Total_Reviews,Known_For,Category_Encoded,Locality_Encoded
Black Club+Café,"North Indian, Italian, Fast Food",0.7698940080379282," Gaur City 1, Greater Noida",4.1,-0.4759194154983729,3.964299424184261,-0.4859916272626739,https://www.zomato.com/ncr/black-club-café-gaur-city-1-greater-noida,"Shop 10, T012A-14, 2A-2B, 3rd Floor, Gaur City Mall, Gaur City 1, Greater Noida",91931211,28.60625755,77.43000514,"Service is Great, Average Sized Portions, Ambience was Super Cool, Sanitised Service, Excellent Location, Fantastic Decoration",Unknown,4.032149712092131,284,"Service is Great, Average Sized Portions, Ambience was Super Cool, Sanitised Service, Excellent Location, Fantastic Decoration, Unknown",1011,97
Tesoro Mio,"Continental, Chinese, Italian, Fast Food, North Indian, Mughlai, Tex-Mex, Beverages",0.7698940080379282," Preet Vihar, New Delhi",4.1,0.284684315814489,4.0,-0.430725932279523,https://www.zomato.com/ncr/tesoro-mio-preet-vihar-new-delhi,"G-13, Top Floor, Opposite Metro Pillar 106, Vikas Marg, Preet Vihar, New Delhi",91981111,28.64364118,77.29847465,Family place with cosy ambiance and good Continental food,Unknown,4.05,1363,"Family place with cosy ambiance and good Continental food, Unknown",415,235
Little Attock,"Modern Indian, Continental, Street Food, Desserts, Beverages",0.7698940080379282," Okhla Phase 3, New Delhi",4.1,-0.5972812213199574,4.0,-0.45835877977109846,https://www.zomato.com/ncr/little-attock-okhla-phase-3-new-delhi,"F 95, Modi Mills, Okhla Phase 3, New Delhi",91114511,28.55059403,77.27125961,"Slow-cooked in copper utensils, unprocessed seasonal ingredients, and traditional practices of undivided India, make for an immersive food experience of a slow life so we can again relive the joys of nutritious, healthy, and gratifying food.",Unknown,4.05,344,"Slow-cooked in copper utensils, unprocessed seasonal ingredients, and traditional practices of undivided India, make for an immersive food experience of a slow life so we can again relive the joys of nutritious, healthy, and gratifying food., Unknown",716,211
Not Just Paranthas,"North Indian, Kebab, Beverages, Mughlai",0.16914716054754217," Cyber Hub, DLF Cyber City, Gurgaon",4.1,1.347646339217333,3.8,-0.46777906868868097,https://www.zomato.com/ncr/not-just-paranthas-dlf-cyber-city,"Shop 108, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon",91997211,28.49513857,77.088685,"Pan Pizza Parantha, Sharabi Parantha, Churchur Paratha, Amritsari Parantha, Mutton Parantha, Dal Parantha","Affordable, Nice Environment, Ample Seating Area, Outdoor Sitting, Staff Service, Menu Options",3.9499999999999997,2143,"Pan Pizza Parantha, Sharabi Parantha, Churchur Paratha, Amritsari Parantha, Mutton Parantha, Dal Parantha, Affordable, Nice Environment, Ample Seating Area, Outdoor Sitting, Staff Service, Menu Options",1017,66
3B's -  Country Inn & Suites,"Continental, Chinese, North Indian, Beverages",2.722321262381682," Country Inn & Suites by Carlson, Sahibabad, Ghaziabad",4.1,-0.46859585825051864,3.964299424184261,-0.4859916272626739,https://www.zomato.com/ncr/3bs-country-inn-suites-sahibabad-ghaziabad,"Country Inn & Suites By Carlson, Sahibabad, Ghaziabad",91880111,28.65370885,77.34418653,Unknown,Unknown,4.032149712092131,291,"Unknown, Unknown",418,55
Dhaba - A Punjabi Theme,"North Indian, Chinese, Kebab",1.5208275674009106," Rajouri Garden, New Delhi",4.1,0.6121519470399716,3.9,0.3071966995977763,https://www.zomato.com/ncr/dhaba-a-punjabi-theme-rajouri-garden-new-delhi,"A-5, Vishal Enclave, Rajouri Garden, New Delhi",91989111,28.64766224,77.11925581,"Murgh Rara, Fish Platter, Palak Panner, Tangdi Kabab, Authentic Punjabi Food, Mushroom Masala","Dhaba Feel, Perfect Family Restaurant, Pocket Friendly Place, Ample Seating Area, Relaxed Atmosphere, Service Charge",4.0,6376,"Murgh Rara, Fish Platter, Palak Panner, Tangdi Kabab, Authentic Punjabi Food, Mushroom Masala, Dhaba Feel, Perfect Family Restaurant, Pocket Friendly Place, Ample Seating Area, Relaxed Atmosphere, Service Charge",867,255
Cayenne The House Of Spice,"North Indian, Chinese",0.31933387242013866," Sector 63, Noida",4.1,-0.5041674220258107,3.9,-0.47641433352979834,https://www.zomato.com/ncr/cayenne-the-house-of-spice-sector-63-noida,"H1A/35, 1st Floor, Sector 63, Noida",91120511,28.62665219,77.37520024,Unknown,Unknown,4.0,318,"Unknown, Unknown",801,336
Plats,"European, Fast Food, Beverages, Bakery",1.5208275674009106," Malviya Nagar, New Delhi",4.1,-0.6025123336398533,4.4,-0.46463897238282015,https://www.zomato.com/ncr/plats-1-malviya-nagar-new-delhi,"C 51, Ground Floor, Shivalik, Malviya Nagar, New Delhi",91114211,28.53904,77.212147,"Family Crowd, Elaborate Menu, Good Music, Amazing Food, Amazing Place, Customizable Food",Unknown,4.25,299,"Family Crowd, Elaborate Menu, Good Music, Amazing Food, Amazing Place, Customizable Food, Unknown",507,184
Aatithyam,"South Indian, North Indian, Chinese",-0.20631961913394903," Hajipur, Noida",4.1,-0.506259866953769,3.9,-0.4365351104453655,https://www.zomato.com/ncr/aatithyam-hajipur,"HA 102, 1st Floor, Sector 104, Near Hajipur, Noida",918811,28.53999396,77.36669865,"Outside Seating, South Indian Food, Weekend Brunch, Elaborate Menu, Portion Size, Wonderful Presentation",Unknown,4.0,570,"Outside Seating, South Indian Food, Weekend Brunch, Elaborate Menu, Portion Size, Wonderful Presentation, Unknown",1225,113
The Himalayan Kitchen,"Tibetan, Asian, Nepalese, Chinese",0.46952058429273513," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.1,-0.5397389858011027,4.2,-0.43433704303126297,https://www.zomato.com/ncr/the-himalayan-kitchen-greater-kailash-gk-2-new-delhi,"M-20, M Block Market, Greater Kailash 2 (GK 2), New Delhi",91730411,28.53368219,77.24226661,Unknown,Unknown,4.15,552,"Unknown, Unknown",1265,175
Kalaakaar - The Melodramatic Cafe,"North Indian, Chinese, Pizza, Momos, Rolls, Desserts, Beverages",-0.20631961913394903," Rajouri Garden, New Delhi",4.1,-0.5135834242016233,4.1,-0.4037211040491197,https://www.zomato.com/ncr/kalaakaar-the-melodramatic-cafe-1-rajouri-garden-new-delhi,"E-1, Block E, Rajouri Garden, New Delhi",91770211,28.642342,77.123946,Unknown,Unknown,4.1,772,"Unknown, Unknown",907,255
Rajdhani,"Gujarati, Rajasthani, North Indian",0.16914716054754217," Connaught Place, New Delhi",4.1,1.3957725725603751,3.9,-0.11687330650873123,https://www.zomato.com/ncr/rajdhani-connaught-place-new-delhi,"9 A, Atmaram Mansion, Scindia House, Connaught Place, New Delhi",91114411,28.63009682,77.22044885,"Strawberry Halwa, Misi Roti, Ker Sangri, Rajasthani Thaali, Gujarati Thali, Dal Baati","Good for Large Groups, Amazing Food and Experience, Ample Seating Area, Excellent Food and Service, Warm Welcome, Unlimited Refills",4.0,4424,"Strawberry Halwa, Misi Roti, Ker Sangri, Rajasthani Thaali, Gujarati Thali, Dal Baati, Good for Large Groups, Amazing Food and Experience, Ample Seating Area, Excellent Food and Service, Warm Welcome, Unlimited Refills",590,53
